t,x,y,vx,vy,ω
3.466663,-0.01050456,0.132521,,,
3.499997,-0.01050706,0.1302591,5.449324e-05,-0.06852514,2.392324
3.53333,-0.01050093,0.1279527,-0.0008756764,-0.06948656,2.93577
3.566663,-0.01056544,0.1256266,-0.0002026586,-0.06945391,2.723319
3.599996,-0.01051444,0.1233224,0.0006396951,-0.06996828,2.466226
3.63333,-0.0105228,0.1209621,0.0003442237,-0.07004867,2.697396
3.666663,-0.01049149,0.1186525,0.0004950663,-0.07062922,2.7625
3.699996,-0.01048979,0.1162535,1.190943e-05,-0.07179521,3.162586
3.73333,-0.01049069,0.1138662,0.0004145482,-0.07096665,3.05103
3.766663,-0.01046216,0.1115224,0.0008438456,-0.07092906,2.961587
3.799996,-0.01043444,0.1091376,0.001331323,-0.07260262,2.916359
3.83333,-0.0103734,0.1066822,0.0009698193,-0.07313941,3.278623
3.866663,-0.01036978,0.1042616,0.000791924,-0.07386441,3.563012
3.899996,-0.01032061,0.1017579,0.002445206,-0.07428696,2.823146
3.933329,-0.01020677,0.09930918,0.002121374,-0.07330017,3.109269
3.966663,-0.01017918,0.09687125,0.0006185447,-0.07377391,4.180735
3.999996,-0.01016553,0.09439092,-0.0001484036,-0.07413415,4.890674
4.033329,-0.01018908,0.09192898,0.00166121,-0.07401156,3.99281
4.066663,-0.01005479,0.08945683,0.001815545,-0.07416866,4.165467
4.099996,-0.01006804,0.0869844,0.002417762,-0.07544279,4.060321
4.133329,-0.009893603,0.08442731,0.003036861,-0.077221,4.074636
4.166663,-0.009865582,0.08183634,0.002337129,-0.07601416,4.676508
4.199996,-0.009737794,0.07935971,0.003061711,-0.07625169,4.508041
4.233329,-0.009661468,0.0767529,0.003856631,-0.07779257,4.326507
4.266662,-0.009480686,0.07417354,0.002988942,-0.0772551,5.301626
4.299996,-0.009462205,0.07160257,0.00239301,-0.07797445,6.184164
4.333329,-0.009321152,0.06897525,0.003387122,-0.0789802,5.979034
4.366662,-0.009236397,0.06633722,0.003769441,-0.07992639,6.210262
4.399996,-0.009069856,0.06364683,0.004153083,-0.08003638,6.43433
4.433329,-0.008959525,0.06100147,0.00393831,-0.07890885,7.018931
4.466662,-0.008807303,0.05838624,0.004505979,-0.08082698,7.418424
4.499996,-0.008659127,0.05561301,0.004370715,-0.08185419,8.429798
4.533329,-0.008515922,0.0529293,0.004315221,-0.08076147,9.183009
4.566662,-0.008371446,0.05022892,0.004427414,-0.08052347,9.995304
4.599995,-0.008220761,0.04756108,0.005244386,-0.08416646,10.95029
4.633329,-0.00802182,0.04461783,0.01520597,-0.08308324,-1.119395
4.666662,-0.007207031,0.0420222,0.01771774,-0.09938923,0.2211735
4.699995,-0.006840639,0.03799189,0.01099177,-0.09892595,9.368544
4.733329,-0.006474247,0.03542714,0.01648766,-0.0824383,-2.809621
4.766662,-0.005741463,0.032496,0.005495886,-0.0824383,17.65744
4.799995,-0.006107855,0.02993126,-0.005495886,-0.0824383,40.9041
4.833329,-0.006107855,0.02700012,0.0,-0.08793418,40.58231
4.866662,-0.006107855,0.02406899,0.02198355,-0.08793418,-5.400635
4.899995,-0.004642286,0.02113785,0.03297532,-0.0384712,-59.02727
4.933328,-0.003909502,0.02150424,0.0384712,0.07144652,-117.0105
4.966662,-0.002077542,0.02590095,0.04396709,0.07144652,-122.5627
4.999995,-0.0009783658,0.02626734,0.03297532,0.06595064,-72.21605
5.033328,0.0001208104,0.03029765,0.02871382,0.02747728,-60.61058
5.066662,0.000935887,0.02809916,0.03436522,0.01231943,-63.04946
5.099995,0.002411823,0.03111895,0.043685,0.08323207,-69.25178
5.133328,0.003848218,0.03364796,0.04265938,0.07575253,-57.5415
5.166662,0.005255778,0.03616911,0.04254958,0.07459715,-49.43289
5.199995,0.006684854,0.03862109,0.04600579,0.08726959,-44.16273
5.233328,0.008322828,0.04198708,0.04751143,0.09175245,-38.99451
5.266661,0.009852279,0.04473792,0.04484948,0.07873099,-33.84603
5.299995,0.01131279,0.0472358,0.04465703,0.07833338,-29.73618
5.333328,0.01282941,0.04996014,0.04592859,0.08050857,-27.23233
5.366661,0.01437469,0.05260304,0.04623515,0.07924991,-24.99002
5.399995,0.01591175,0.05524346,0.04570044,0.07855728,-22.17473
5.433328,0.01742139,0.05784018,0.04644573,0.07603524,-21.37271
5.466661,0.01900813,0.06031247,0.04735726,0.0748941,-20.57936
5.499995,0.02057853,0.06283312,0.04867517,0.07767121,-19.11779
5.533328,0.02225314,0.06549055,0.0462563,0.07378609,-16.76164
5.566661,0.02366228,0.06775219,0.04179597,0.06829505,-13.55837
5.599994,0.02503953,0.07004354,0.04589213,0.07223332,-14.45533
5.633328,0.02672176,0.07256774,0.05049552,0.07548498,-15.80319
5.666661,0.0284059,0.07507587,0.05102925,0.07490415,-15.15201
5.699994,0.0301237,0.07756134,0.05065585,0.07350728,-14.22486
5.733328,0.03178295,0.07997635,0.04528585,0.0684577,-11.2766
5.766661,0.03314276,0.08212518,0.0468098,0.06701506,-11.75841
5.799994,0.0349036,0.08444402,0.050699,0.06946779,-12.79339
5.833328,0.03652269,0.08675636,0.05025841,0.06956871,-11.74494
