t,x,y,vx,vy,ω
1.433332,0.002608657,0.1220852,,,
1.466665,0.002651052,0.1200957,0.001684489,-0.07792312,-1.641003
1.499999,0.002720956,0.1168903,0.001748309,-0.08079536,-1.763159
1.533332,0.002767606,0.1147093,-0.001796796,0.0003121202,0.8836762
1.566665,0.00260117,0.1169111,0.001609137,-0.07552822,-1.791499
1.599998,0.002874882,0.1096741,0.001976711,-0.07681496,-1.888041
1.633332,0.002732951,0.1117901,-0.0013794,-0.002547505,0.6863442
1.666665,0.002782922,0.1095043,0.00135045,-0.07108342,-1.651815
1.699998,0.002822981,0.1070512,0.001955944,-0.07763734,-2.156221
1.733332,0.002913318,0.1043285,0.002212424,-0.08135358,-2.454919
1.766665,0.002970475,0.1016276,0.001868264,-0.07845607,-2.344852
1.799998,0.003037869,0.09909808,0.001996299,-0.07969364,-2.570826
1.833332,0.003103562,0.09631474,0.002062963,-0.0807553,-2.77191
1.866665,0.0031754,0.0937144,0.001876393,-0.08126164,-2.830043
1.899998,0.003228655,0.0908973,0.002010476,-0.08148904,-3.092896
1.933331,0.003309431,0.0882818,0.002131272,-0.08272471,-3.397197
1.966665,0.003370739,0.08538233,0.001881655,-0.08280237,-3.446198
1.999998,0.003434875,0.08276165,0.001886997,-0.08302213,-3.699489
2.033331,0.003496539,0.07984752,0.001900327,-0.08468304,-4.015473
2.066665,0.003561563,0.07711612,0.001940159,-0.08516647,-4.370357
2.099998,0.003625883,0.07416976,0.002019857,-0.08433842,-4.728994
2.133331,0.00369622,0.07149356,0.001934478,-0.08576229,-5.114696
2.166664,0.003754848,0.06845228,0.001922602,-0.08686063,-5.575822
2.199998,0.003824394,0.06570286,0.001580079,-0.08278111,-5.55382
2.233331,0.003860186,0.06293355,0.001492486,-0.08842208,-6.336105
2.266664,0.003923893,0.05980806,0.001770715,-0.08777882,-7.150955
2.299998,0.003978234,0.05708163,0.001764756,-0.08768997,-7.943118
2.333331,0.004041543,0.05396207,0.001713089,-0.0895056,-8.862807
2.366664,0.00409244,0.0511146,0.001148735,-0.08443981,-8.802271
2.399998,0.004118125,0.04833275,0.001520942,-0.08942677,-10.93344
2.433331,0.004193836,0.04515282,0.001901635,-0.0904227,-12.89873
2.466664,0.004244901,0.04230458,0.001602253,-0.0909155,-14.57465
2.499998,0.004300652,0.03909179,0.001444533,-0.09167618,-16.64686
2.533331,0.004341203,0.03619284,0.001227322,-0.08635568,-18.17313
2.566664,0.004382474,0.03333475,0.001708658,-0.09284574,-24.09436
2.599997,0.004455113,0.03000313,0.001687728,-0.0934471,-28.89587
2.633331,0.004494989,0.02710495,0.0007462233,-0.08691708,-31.42892
2.666664,0.004504861,0.02420866,0.003036024,-0.09145887,-47.82239
2.699997,0.00469739,0.0210077,0.01782024,-0.02371342,-53.70828
2.733331,0.005692876,0.02262777,0.02857312,0.02420069,-54.99604
2.766664,0.006602263,0.02262108,0.03745311,0.07075717,-38.26517
2.799997,0.008189747,0.02734491,0.0422407,0.1080618,-18.82016
2.833331,0.009418307,0.02982519,0.03694353,0.073881,-23.9333
2.866664,0.01065265,0.03227031,0.03690674,0.0719501,-21.17735
2.899997,0.01187875,0.03462186,0.03707606,0.07150518,-18.65496
2.93333,0.01312438,0.03703731,0.03729545,0.07174786,-16.38375
2.966664,0.01436512,0.03940504,0.03693811,0.07097241,-14.28096
2.999997,0.01558692,0.0417688,0.03674611,0.06987487,-12.86747
3.03333,0.01681485,0.04406336,0.03699728,0.06924838,-12.03141
3.066664,0.0180534,0.04638536,0.03699643,0.06906985,-10.87951
3.099997,0.01928128,0.04866802,0.0367871,0.06790202,-10.07787
3.13333,0.02050587,0.05091215,0.03661816,0.06719359,-9.275375
3.166664,0.02172249,0.05314758,0.0366423,0.06702756,-8.55159
3.199997,0.02294869,0.05538065,0.03691167,0.06662056,-8.221786
3.23333,0.02418326,0.05758895,0.03682536,0.06564774,-7.843826
3.266663,0.02540371,0.05975716,0.03663085,0.06486937,-7.360531
3.299997,0.02662532,0.06191357,0.03651739,0.0644554,-6.882703
3.33333,0.0278382,0.06405419,0.03625424,0.06397241,-6.368031
3.366663,0.02904226,0.06617839,0.03633607,0.0637214,-6.079169
3.399997,0.0302606,0.06830227,0.0365674,0.06375325,-5.841738
3.43333,0.03148009,0.07042861,0.03665343,0.06260346,-5.87517
3.466663,0.03270416,0.07247583,0.03637354,0.06163201,-5.63759
3.499997,0.03390499,0.0745374,0.03624858,0.06141297,-5.292221
3.53333,0.03512073,0.07657003,0.03631251,0.0608532,-5.199607
3.566663,0.03632582,0.07859428,0.0361453,0.06054481,-4.905333
3.599996,0.03753042,0.08060634,0.03602481,0.06011315,-4.698063
3.63333,0.03872747,0.08260182,0.03600805,0.05900559,-4.741624
3.666663,0.03993095,0.08454005,0.0360698,0.058315,-4.728328
3.699996,0.04113212,0.08648948,0.03589105,0.05840397,-4.388653
3.73333,0.04232369,0.08843364,0.03576661,0.05819503,-4.173726
3.766663,0.04351656,0.09036914,0.0358509,0.05760462,-4.174283
3.799996,0.04471374,0.09227395,0.03575904,0.05651086,-4.212715
3.83333,0.04590049,0.09413653,0.03584246,0.0558079,-4.243054
3.866663,0.04710324,0.09599447,0.03601069,0.0554357,-4.238973
3.899996,0.0483012,0.09783224,0.03581444,0.05499542,-4.081273
3.933329,0.04949087,0.09966083,0.0355795,0.05452663,-3.922311
3.966663,0.05067317,0.1014673,0.03566935,0.05369996,-3.998428
3.999996,0.05186882,0.1032408,0.03561425,0.05386579,-3.795061
4.033329,0.05304745,0.1050584,0.0352383,0.05350119,-3.572858
4.066663,0.05421804,0.1068076,0.03475674,0.05200209,-3.568007
4.099996,0.05536456,0.1085252,0.0349661,0.051697,-3.596841
4.133329,0.05654911,0.110254,0.03522131,0.05203747,-3.51388
4.166663,0.05771265,0.1119944,0.03484289,0.05121797,-3.41441
4.199996,0.05887197,0.1136686,0.03499347,0.05019891,-3.574065
